"Espanya",801
"Països Baixos",190
"Estats Units",10
"Bèlgica",8
"Alemanya",3
"Suècia",2
"Xina",1
"Regne Unit",1
"Canadà",1
"Mèxic",1
"Polònia",1
"Índia",1
